Name	Radius	Mass	T_eff (Host Star)	Transit Duration
Kepler-102 b	0.469998123	4.30032571	4903	7857.19754195
Kepler-103 b	3.370004285	30.0011856	5845	19934.7533812
Kepler-103 c	5.140011224	95.00391334	5845	44667.9528337
Kepler-105 c	1.61000501	4.604244641	5873	11952.0378572
Kepler-106 c	2.500006826	10.44037825	5858	14035.6467447
Kepler-106 e	2.560008921	11.17029234	5858	20749.2460032
Kepler-106 b	0.820003029	5.300142695	5858	10789.5919041
Kepler-106 d	0.950003911	8.100266067	5858	16968.6859802
Kepler-109 b	2.370005944	7.300412479	5952	13744.2644669
Kepler-109 c	2.520000208	21.80077888	5952	20409.2464316
Kepler-11 b	1.800007987	1.900129132	5663	13137.6713529
Kepler-11 c	2.870005114	2.870062875	5663	14204.7552716
Kepler-11 d	3.110002522	7.300412479	5663	17090.7420275
Kepler-11 e	4.180010622	8.000443321	5663	19167.5247037
Kepler-11 f	2.480002469	1.999951877	5663	21739.7937265
Kepler-11 g	3.330006546	25.00114695	5663	29644.5468702
Kepler-113 c	2.180002967	8.700474164	4725	8913.12135803
Kepler-113 b	1.82000137	11.70056093	4725	7225.13004846
Kepler-117 c	12.08162157	584.94857	6150	32317.5690591
Kepler-117 b	7.889814629	29.88324216	6150	23202.3897464
Kepler-12 b	19.20330403	136.6999375	5953	12829.3513807
Kepler-128 b	1.130032143	1.300238941	6090	20566.6440001
Kepler-128 c	1.130032143	1.500520245	6090	23601.3780498
Kepler-131 b	2.410003683	16.13059263	5685	14616.3112264
Kepler-131 c	0.839996412	8.250318091	5685	17044.2179027
Kepler-14 b	12.46568765	2670.417385	6395	19117.7088018
Kepler-15 b	10.53438393	209.8185088	5514	9445.25819652
Kepler-17 b	14.59451107	785.2298738	5781	6451.76691751
Kepler-18 b	1.96422367	6.898578243	5383	9613.16199311
Kepler-18 c	5.376925129	17.1669689	5383	12465.4948243
Kepler-18 d	6.803456286	16.53115524	5383	15558.8312453
Kepler-19 b	2.1628407	20.31424653	5541	10334.3375755
Kepler-20 b	1.86546382	8.58348445	5466	8515.68817191
Kepler-20 c	2.96279548	16.21324841	5466	12194.6354188
Kepler-20 d	2.743329148	19.07440989	5466	23493.4609564
Kepler-21 b	1.597714896	10.39555339	6131	13431.4507558
Kepler-26 b	2.939970981	5.117346267	4486	8677.03700102
Kepler-26 c	2.939970981	6.19663996	4486	9717.25125828
Kepler-277 b	2.919999545	87.80268779	5946	22795.4562284
Kepler-277 c	3.36002954	66.30264878	5946	28259.4168291
Kepler-289 b	2.106876785	7.311857124	5990	17960.4723293
PH3 c	2.622622665	4.132788809	5990	22293.4010248
Kepler-289 c	11.34640935	131.9313351	5990	27636.0412224
Kepler-29 b	3.600005001	4.509190498	5750	11829.5605996
Kepler-29 c	2.899918375	3.998950033	5750	12866.2244864
Kepler-297 c	7.24238895	41.32788809	6150	24484.1869539
Kepler-307 b	3.200038584	7.439973578	5577	13826.2144087
Kepler-307 c	2.799951461	3.645755544	5577	14918.2017263
Kepler-33 c	3.199819118	0.801125215	5904	22336.5931587
Kepler-33 d	5.350007584	4.69866297	5904	26409.0239498
Kepler-33 e	4.01999772	6.701476008	5904	29956.9724202
Kepler-33 f	4.460005768	11.50186916	5904	32617.9724547
Kepler-338 b	2.440026677	30.61442787	5923	22762.8133571
Kepler-338 e	1.525291006	8.58348445	5923	20021.949595
Kepler-36 b	1.51190356	4.280167237	5911	21496.0372738
Kepler-36 c	3.679005747	8.080320592	5911	22672.3592215
Kepler-4 b	3.917474023	24.47882603	5857	11609.7728352
Kepler-406 b	1.429998725	6.350188959	5538	7953.66620932
Kepler-406 c	0.850004076	2.710155739	5538	9860.6250008
Kepler-407 b	1.069997127	3.200050166	5476	4998.74617541
Kepler-409 b	1.190001318	22.00074227	5460	21231.812135
Kepler-41 b	11.41224925	178.0278256	5620	6828.88235449
Kepler-412 b	14.53964448	298.5145148	5750	8288.33860328
Kepler-418 b	13.16797991	349.6975146	6029	36803.6801986
Kepler-422 b	12.61931408	136.6999375	5972	13332.3052986
Kepler-424 b	9.766251766	327.4440364	5460	7901.48738579
Kepler-434 b	12.39984775	909.2135381	5970	17230.7125562
Kepler-44 b	11.96091508	317.9068315	5800	10891.1497007
Kepler-445 b	1.580003963	6.000173538	3157	3029.69793685
Kepler-445 c	2.510003517	9.000260307	3157	3567.29135789
Kepler-445 d	1.250003413	4.000221661	3157	4235.39358572
Kepler-446 b	1.499997511	5.000356553	3359	2611.82192585
Kepler-446 c	1.11000584	4.000221661	3359	3257.19239388
Kepler-446 d	1.350003247	5.000356553	3359	3884.24275271
Kepler-447 b	18.10597237	435.5323592	5493	10700.6058887
Kepler-45 b	10.53438393	160.5429499	3820	5005.4202942
Kepler-454 b	2.319759127	6.841355014	5687	13116.9591301
Kepler-48 b	2.140005228	4.793717112	5190	8817.36317576
Kepler-48 c	3.140003569	10.56054704	5190	11154.7086733
Kepler-48 d	2.040005394	7.930185912	5190	18325.8114522
Kepler-5 b	15.70281604	672.0550418	6297	13918.5915322
Kepler-50 b	1.709993871	5.074746751	6225	16511.1712962
Kepler-50 c	2.170002984	8.278611799	6225	17546.6247283
Kepler-51 b	6.946109402	2.098185088	6018	17499.8465997
Kepler-51 c	8.811573222	4.005626077	6018	21634.1020183
Kepler-51 d	9.491918851	7.597973273	6018	24907.6347742
Kepler-56 b	6.375496939	22.09452479	4840	47679.0035049
Kepler-56 c	9.5906787	180.8889871	4840	60432.7705395
Kepler-57 b	2.189999659	5.027378633	5145	7864.33102635
Kepler-57 c	1.550002915	2.466639106	5145	9951.66100947
Kepler-59 b	1.099998175	1.216947351	6074	11974.0741088
Kepler-59 c	1.980003299	4.084466971	6074	13752.3918132
Kepler-6 b	14.26531157	212.9975771	5640	10620.2869049
Kepler-60 b	2.150770052	4.100998126	5915	15801.7390063
Kepler-60 c	2.326343117	4.800393156	5915	17023.6255859
Kepler-60 d	2.550001256	3.814881978	5915	18743.6104948
Kepler-63 b	6.110008518	120.0047424	5576	10829.9046101
Kepler-68 b	2.260503218	8.265577619	5793	12028.9025863
Kepler-68 c	0.93273191	4.768602472	5793	14575.663197
Kepler-7 b	17.77677288	139.8790059	6027	17154.0148133
Kepler-74 b	10.53438393	200.2813038	6000	11654.6884584
Kepler-75 b	11.52198242	3210.858998	5200	10762.7813975
Kepler-76 b	14.92371056	638.9927313	6409	8124.81736502
Kepler-77 b	10.53438393	136.6999375	5520	8715.65536529
Kepler-8 b	15.58210956	187.5650306	6251	11984.624703
Kepler-87 b	13.16797991	324.2649681	5600	48472.7768261
Kepler-87 c	6.140009565	6.400100332	5600	57585.297289
Kepler-89 b	1.71000265	10.50039906	6182	12298.5012992
Kepler-89 c	4.320006769	15.60061969	6182	17302.5767201
Kepler-89 d	10.97331659	104.9092544	6182	22309.2324416
Kepler-89 e	6.560010295	35.00138955	6182	29997.9528245
Kepler-9 b	9.217585936	79.47670787	5777	15115.3703929
Kepler-9 c	8.998119604	54.04416135	5777	19139.8986757
Kepler-9 d	1.613077539	6.993950293	5777	6589.63313143
Kepler-90 h	11.08304976	381.4881978	6080	44223.8486851
Kepler-90 g	7.900787945	254.3254652	6080	38013.8932254
Kepler-91 b	15.36264323	209.8185088	4550	59997.1302802
Kepler-93 b	1.447380458	4.005626077	5669	9001.75572343
Kepler-94 b	3.510001858	10.84030505	4781	6267.51188871
Kepler-95 b	3.420009689	13.00048197	5699	17562.9815159
Kepler-96 b	2.670005446	12.00034708	5690	14614.3469959
Kepler-97 b	1.480004129	3.510009327	5779	7770.09020627
Kepler-98 b	1.98999999	3.550065587	5539	7279.58463873
Kepler-99 b	1.480004129	6.150225562	4782	7432.63833661
Kepler-78 b	1.199998009	1.869927983	5121	3154.63255175
KOI-12 b	15.80157589	2765.789434	6820	21287.1660405
KOI-1257 b	10.3149176	460.9649057	5520	28386.788784
KOI-1299 b	12.29011458	1548.206269	4850	79685.710155
KOI-135 b	13.38744624	1026.839066	6050	10426.5389798
KOI-142 b	4.131124497	1.756880314	5513	11988.4743259
KOI-1474 b	10.57827719	794.7670787	6370	36522.0101342
KOI-1612.01	0.801052111	5.086509304	6104	9162.9351988
KOI-183 b	13.08019338	189.1545647	5560	7886.05480051
KOI-1843.03	0.592559096	0.445069564	3584	1851.50973955
KOI-1873.02	2.300007157	22.39971535	6134	18060.1993353
KOI-1873.01	5.399969094	32.69989669	6134	22912.9595165
KOI-188 b	10.73190363	79.47670787	5170	7777.06328457
KOI-1894.01	7.24238895	57.22322967	4992	33316.3793509
KOI-192 b	13.49717941	92.19298113	5800	16841.9770922
KOI-195 b	11.96091508	108.0883227	5725	7930.09400332
KOI-201.01	8.998119604	190.7440989	5649	9390.3271954
KOI-206 b	15.91130906	896.4972648	6340	19694.3373544
KOI-2672.01	5.300013154	17.08653847	5565	26676.6292257
KOI-2672.02	3.500005167	80.13604664	5565	20969.1478354
KOI-285 b	3.577301209	51.5009067	5883	21871.9438064
KOI-285 c	2.403156333	28.293708	5883	27295.6463499
KOI-314 b	1.197002294	1.970068635	3841	7451.38546563
KOI-314 c	1.212002817	0.639946452	3841	8849.85930495
Kepler-138 b	0.52200067	0.066124621	3841	6764.92561671
